Year,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
2016,66,32,16,8,5,3,7,9,5,10,1,4,9,5,6,8,0,4,1,3,6,2,1,2,1,7,5,0,0,5,1,3,2,2,0,0,5,0,2,1,3,1,1,2,1,2,2,0,1,1,2,0,1,3,2,1,1,1,1,1,1,2,1,3,0,0,1,0,0,2,2,1,0
2017,66,29,18,9,12,2,13,8,11,2,3,15,8,5,10,5,1,1,0,2,1,4,1,1,1,1,1,2,1,3,1,2,1,0,0,6,2,3,3,4,3,1,2,1,2,1,0,0,1,0,2,0,0,4,0,1,1,2,3,0,0,1,0,1,0,0,2,0,0,1,2,1,0
2018,84,51,23,10,22,6,13,13,23,14,2,5,6,7,7,6,1,9,3,1,4,8,1,4,4,6,2,6,2,0,3,7,5,1,0,5,4,3,1,3,3,0,7,1,0,2,0,1,5,1,1,0,1,1,0,7,2,1,1,1,1,2,0,1,3,0,1,1,2,2,0,0,4
2019,96,47,19,12,12,10,13,18,12,11,3,7,8,2,4,2,1,4,2,2,5,4,3,2,3,4,5,3,5,3,2,2,7,0,7,5,4,2,3,3,5,0,2,4,0,2,2,3,2,9,2,0,1,1,1,4,0,2,1,1,1,1,0,2,0,8,0,1,1,1,6,2,0
2020,86,28,16,12,12,11,14,6,14,1,6,9,10,10,4,4,11,4,2,6,4,4,2,1,1,2,3,2,3,5,2,3,3,1,2,0,1,2,4,6,2,1,4,3,1,3,8,3,2,0,4,3,5,2,2,1,0,1,3,2,0,4,2,3,0,0,1,2,1,2,1,2,2
2021,103,14,21,15,11,24,7,15,10,4,4,3,4,6,4,7,10,5,11,4,4,2,1,2,4,4,1,5,5,2,1,2,2,4,4,2,1,3,4,2,2,1,2,3,2,3,2,3,2,3,2,1,6,3,1,0,1,1,1,3,3,0,1,2,2,4,1,1,2,1,1,2,1
2022,136,31,33,14,16,29,11,10,5,13,21,11,5,5,4,9,7,4,2,6,3,2,3,3,4,3,2,3,6,4,5,4,4,7,3,2,4,3,4,0,3,2,2,3,1,4,0,4,1,2,2,2,1,0,8,1,5,5,2,2,1,1,5,2,2,2,3,0,2,2,0,1,1
2023,117,32,15,39,16,15,15,10,11,12,20,13,8,8,5,9,11,6,6,2,2,7,6,7,5,2,2,4,2,1,7,3,2,4,3,1,0,1,2,0,0,6,1,3,3,1,4,3,1,1,0,3,1,3,4,0,3,1,2,5,2,2,3,2,3,0,3,2,3,2,0,5,2
2024,109,37,13,33,4,9,10,13,1,10,13,5,2,7,8,2,4,6,7,3,1,1,6,7,6,1,4,1,3,2,3,1,0,3,0,4,2,0,1,2,1,6,0,1,3,1,2,3,0,2,2,8,1,0,0,2,1,0,3,0,5,2,2,0,3,2,2,1,1,2,1,1,3
2025,138,42,21,36,9,8,12,9,3,12,7,8,4,5,4,3,4,5,6,6,6,2,6,6,6,2,7,7,4,7,6,3,2,7,9,0,0,6,0,2,1,5,1,0,9,3,0,1,5,2,3,2,3,3,1,0,3,3,0,2,3,2,2,1,2,0,2,7,4,1,2,1,1
2026,20,9,0,4,5,1,1,4,0,6,7,1,2,2,1,0,2,0,1,2,0,0,5,0,0,1,1,0,2,0,0,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
